BOCC Report,Duplicate / Different Acc/ WSH / Near Miss / Need Not Report,Time of Accident,Date of Accident,Service No,Employee No,Date approved,"[Auto]
Overall Case status",LTA Ref No,"[Auto]
Lead Time Submitted Cases","[Auto] 
CCTV Lead Time - Received","[Auto]
CCTV Lead Time - Pending","[Auto]
Today's Date",Date approved.1
432626,,06:14:00,2024-02-08 00:00:00,67,23304,Yes,No,,1.0,Not Applicable,65,2024-05-08 15:00:45.460,
432754,,10:30:00,2024-02-09 00:00:00,911,72143,Yes,No,,2.0,-32382,Not Applicable,2024-05-08 15:00:45.390,
433122,,09:05:00,2024-02-13 00:00:00,61,20828,Yes,No,,1.0,Not Applicable,62,2024-05-08 15:00:45.430,
433138,,13:04:00,2024-02-13 00:00:00,912A,70070,Yes,No,,51.0,Not Applicable,62,2024-05-08 15:00:45.430,
433277,,12:41:00,2024-02-14 00:00:00,972,27096,Yes,No,,2.0,Not Applicable,60,2024-05-08 15:00:45.390,
433282,Near Miss,13:02:00,2024-02-14 00:00:00,301,67445,Yes,No,,1.0,Not Applicable,60,2024-05-08 15:00:45.460,
433568,,07:14:00,2024-02-15 00:00:00,976,34846,Yes,No,,1.0,Not Applicable,59,2024-05-08 15:00:45.470,
433582,,11:52:00,2024-02-15 00:00:00,110,25616,Yes,No,,6.0,1,Not Applicable,2024-05-08 15:00:45.520,
433631,,00:30:00,2024-02-17 00:00:00,975,34483,Yes,No,,1.0,Not Applicable,58,2024-05-08 15:00:45.390,
433696,Alleged,21:11:00,2024-02-17 00:00:00,172,35191,Yes,No,,1.0,Not Applicable,58,2024-05-08 15:00:45.390,
434022,NM,21:57:00,2024-02-20 00:00:00,922,22879,Yes,No,,1.0,Not Applicable,56,2024-05-08 15:00:45.460,
434088,,13:36:00,2024-02-21 00:00:00,75,34928,Yes,No,,2.0,Not Applicable,56,2024-05-08 15:00:45.390,
434184,,08:46:00,2024-02-22 00:00:00,951E,73081,Yes,No,,1.0,Not Applicable,55,2024-05-08 15:00:45.490,
434190,,09:45:00,2024-02-22 00:00:00,985,20417,Yes,No,,3.0,Not Applicable,55,2024-05-08 15:00:45.430,
434408,,19:34:00,2024-02-23 00:00:00,970,21115,Yes,No,,1.0,Not Applicable,53,2024-05-08 15:00:45.460,
