Driver,Operation line,Alarm type,speed(km/h),Alarm start time,Alarm end time,Alarm duration,StartDate,MonthYear,WeekYear
21660.0,913,Harsh Braking,12,2024-03-05 23:59:06,2024-03-05 23:59:11,5,2024-03-05,03-2024,10-2024
20246.0,67,Harsh Acceleration,44,2024-03-05 23:59:05,2024-03-05 23:59:08,3,2024-03-05,03-2024,10-2024
21113.0,962,Harsh Braking,5,2024-03-05 23:59:05,2024-03-05 23:59:10,5,2024-03-05,03-2024,10-2024
14410.0,178,Harsh Acceleration,49,2024-03-05 23:59:03,2024-03-05 23:59:06,3,2024-03-05,03-2024,10-2024
35449.0,,Forward Collision Warning,47,2024-03-05 23:59:03,2024-03-05 23:59:10,7,2024-03-05,03-2024,10-2024
20146.0,903,Harsh Braking,11,2024-03-05 23:59:03,2024-03-05 23:59:08,5,2024-03-05,03-2024,10-2024
21660.0,913,Forward Collision Warning,40,2024-03-05 23:59:03,2024-03-05 23:59:06,3,2024-03-05,03-2024,10-2024
27943.0,172,Harsh Acceleration,60,2024-03-05 23:59:01,2024-03-05 23:59:05,4,2024-03-05,03-2024,10-2024
35449.0,,Headway Monitoring Alert,47,2024-03-05 23:59:01,2024-03-05 23:59:06,5,2024-03-05,03-2024,10-2024
22550.0,,Sharp Cornering,40,2024-03-05 23:59:01,2024-03-05 23:59:04,3,2024-03-05,03-2024,10-2024
14649.0,972M,Harsh Braking,1,2024-03-05 23:58:58,2024-03-05 23:59:02,4,2024-03-05,03-2024,10-2024
18683.0,307,Forward Collision Warning,21,2024-03-05 23:58:57,2024-03-05 23:59:02,5,2024-03-05,03-2024,10-2024
24462.0,912B,Forward Collision Warning,38,2024-03-05 23:58:57,2024-03-05 23:59:10,13,2024-03-05,03-2024,10-2024
30061.0,176,Harsh Braking,28,2024-03-05 23:58:56,2024-03-05 23:58:59,3,2024-03-05,03-2024,10-2024
20494.0,187,Harsh Acceleration,35,2024-03-05 23:58:55,2024-03-05 23:58:59,4,2024-03-05,03-2024,10-2024
34482.0,979,Harsh Braking,0,2024-03-05 23:58:53,2024-03-05 23:58:56,3,2024-03-05,03-2024,10-2024
34815.0,75,Harsh Braking,14,2024-03-05 23:58:53,2024-03-05 23:58:56,3,2024-03-05,03-2024,10-2024
28253.0,110,Harsh Acceleration,57,2024-03-05 23:58:51,2024-03-05 23:58:55,4,2024-03-05,03-2024,10-2024
74634.0,67,Harsh Braking,26,2024-03-05 23:58:51,2024-03-05 23:58:55,4,2024-03-05,03-2024,10-2024
20935.0,,Harsh Braking,15,2024-03-05 23:58:50,2024-03-05 23:58:54,4,2024-03-05,03-2024,10-2024
19036.0,176,Forward Collision Warning,28,2024-03-05 23:58:50,2024-03-05 23:58:57,7,2024-03-05,03-2024,10-2024
18271.0,,Harsh Braking,0,2024-03-05 23:58:49,2024-03-05 23:58:53,4,2024-03-05,03-2024,10-2024
10055.0,903,Harsh Braking,25,2024-03-05 23:58:49,2024-03-05 23:58:52,3,2024-03-05,03-2024,10-2024
31655.0,110,Harsh Braking,15,2024-03-05 23:58:49,2024-03-05 23:58:51,2,2024-03-05,03-2024,10-2024
36131.0,913,Harsh Braking,7,2024-03-05 23:58:49,2024-03-05 23:58:53,4,2024-03-05,03-2024,10-2024
20471.0,172,Harsh Braking,20,2024-03-05 23:58:48,2024-03-05 23:58:53,5,2024-03-05,03-2024,10-2024
21660.0,913,Sharp Cornering,43,2024-03-05 23:58:48,2024-03-05 23:58:53,5,2024-03-05,03-2024,10-2024
,900,Harsh Braking,7,2024-03-05 23:58:48,2024-03-05 23:58:51,3,2024-03-05,03-2024,10-2024
18489.0,61,Harsh Braking,15,2024-03-05 23:58:46,2024-03-05 23:58:51,5,2024-03-05,03-2024,10-2024
15290.0,,Harsh Braking,17,2024-03-05 23:58:46,2024-03-05 23:58:50,4,2024-03-05,03-2024,10-2024
14410.0,178,Harsh Braking,30,2024-03-05 23:58:45,2024-03-05 23:58:50,5,2024-03-05,03-2024,10-2024
15395.0,,Harsh Braking,32,2024-03-05 23:58:45,2024-03-05 23:58:49,4,2024-03-05,03-2024,10-2024
28253.0,110,Harsh Acceleration,57,2024-03-05 23:58:45,2024-03-05 23:58:50,5,2024-03-05,03-2024,10-2024
20471.0,172,Harsh Acceleration,41,2024-03-05 23:58:42,2024-03-05 23:58:46,4,2024-03-05,03-2024,10-2024
21660.0,913,Harsh Braking,43,2024-03-05 23:58:42,2024-03-05 23:58:46,4,2024-03-05,03-2024,10-2024
19356.0,61,Harsh Braking,15,2024-03-05 23:58:41,2024-03-05 23:58:46,5,2024-03-05,03-2024,10-2024
31831.0,188,Harsh Braking,12,2024-03-05 23:58:40,2024-03-05 23:58:43,3,2024-03-05,03-2024,10-2024
14410.0,178,Harsh Acceleration,48,2024-03-05 23:58:39,2024-03-05 23:58:42,3,2024-03-05,03-2024,10-2024
16413.0,991,Harsh Braking,53,2024-03-05 23:58:39,2024-03-05 23:58:44,5,2024-03-05,03-2024,10-2024
20246.0,67,Harsh Braking,9,2024-03-05 23:58:38,2024-03-05 23:58:41,3,2024-03-05,03-2024,10-2024
35160.0,307,Forward Collision Warning,38,2024-03-05 23:58:38,2024-03-05 23:58:45,7,2024-03-05,03-2024,10-2024
20847.0,61,Harsh Acceleration,34,2024-03-05 23:58:37,2024-03-05 23:58:40,3,2024-03-05,03-2024,10-2024
73818.0,,Harsh Braking,1,2024-03-05 23:58:37,2024-03-05 23:58:41,4,2024-03-05,03-2024,10-2024
22444.0,61,Harsh Braking,17,2024-03-05 23:58:37,2024-03-05 23:58:40,3,2024-03-05,03-2024,10-2024
20246.0,67,Forward Collision Warning,29,2024-03-05 23:58:36,2024-03-05 23:58:41,5,2024-03-05,03-2024,10-2024
20077.0,922,Harsh Braking,3,2024-03-05 23:58:35,2024-03-05 23:58:39,4,2024-03-05,03-2024,10-2024
19873.0,61,Headway Monitoring Alert,41,2024-03-05 23:58:34,2024-03-05 23:58:39,5,2024-03-05,03-2024,10-2024
34791.0,911,Pedestrian Collision Alert,36,2024-03-05 23:58:33,2024-03-05 23:58:39,6,2024-03-05,03-2024,10-2024
24052.0,,Harsh Braking,0,2024-03-05 23:58:33,2024-03-05 23:58:37,4,2024-03-05,03-2024,10-2024
20083.0,960,Harsh Braking,29,2024-03-05 23:58:32,2024-03-05 23:58:35,3,2024-03-05,03-2024,10-2024
21113.0,962,Harsh Braking,17,2024-03-05 23:58:31,2024-03-05 23:58:35,4,2024-03-05,03-2024,10-2024
28253.0,110,Harsh Acceleration,57,2024-03-05 23:58:31,2024-03-05 23:58:36,5,2024-03-05,03-2024,10-2024
35313.0,178,Harsh Acceleration,25,2024-03-05 23:58:31,2024-03-05 23:58:34,3,2024-03-05,03-2024,10-2024
15290.0,,Harsh Braking,11,2024-03-05 23:58:28,2024-03-05 23:58:32,4,2024-03-05,03-2024,10-2024
19036.0,176,Yawn,28,2024-03-05 23:58:27,2024-03-05 23:58:35,8,2024-03-05,03-2024,10-2024
20847.0,61,Harsh Braking,10,2024-03-05 23:58:26,2024-03-05 23:58:29,3,2024-03-05,03-2024,10-2024
31829.0,961,Forward Collision Warning,20,2024-03-05 23:58:24,2024-03-05 23:58:33,9,2024-03-05,03-2024,10-2024
21660.0,913,Harsh Acceleration,54,2024-03-05 23:58:23,2024-03-05 23:58:27,4,2024-03-05,03-2024,10-2024
12056.0,190,Harsh Braking,0,2024-03-05 23:58:23,2024-03-05 23:58:26,3,2024-03-05,03-2024,10-2024
20135.0,985,Harsh Acceleration,26,2024-03-05 23:58:23,2024-03-05 23:58:25,2,2024-03-05,03-2024,10-2024
34869.0,178,Yawn,31,2024-03-05 23:58:22,2024-03-05 23:58:30,8,2024-03-05,03-2024,10-2024
23888.0,67,Pedestrian Collision Alert,40,2024-03-05 23:58:20,2024-03-05 23:58:27,7,2024-03-05,03-2024,10-2024
20494.0,187,Harsh Braking,26,2024-03-05 23:58:20,2024-03-05 23:58:25,5,2024-03-05,03-2024,10-2024
35015.0,307,Harsh Braking,23,2024-03-05 23:58:18,2024-03-05 23:58:22,4,2024-03-05,03-2024,10-2024
21113.0,962,Fatigue Alert,35,2024-03-05 23:58:17,2024-03-05 23:58:24,7,2024-03-05,03-2024,10-2024
14758.0,176,Harsh Braking,20,2024-03-05 23:58:17,2024-03-05 23:58:21,4,2024-03-05,03-2024,10-2024
20935.0,,Harsh Braking,24,2024-03-05 23:58:17,2024-03-05 23:58:24,7,2024-03-05,03-2024,10-2024
35016.0,976,Forward Collision Warning,20,2024-03-05 23:58:15,2024-03-05 23:58:20,5,2024-03-05,03-2024,10-2024
35016.0,976,Harsh Braking,20,2024-03-05 23:58:14,2024-03-05 23:58:17,3,2024-03-05,03-2024,10-2024
34580.0,,Fatigue Alert,59,2024-03-05 23:58:14,2024-03-05 23:58:21,7,2024-03-05,03-2024,10-2024
23953.0,178,Harsh Braking,52,2024-03-05 23:58:13,2024-03-05 23:58:21,8,2024-03-05,03-2024,10-2024
66120.0,961,Forward Collision Warning,21,2024-03-05 23:58:12,2024-03-05 23:58:18,6,2024-03-05,03-2024,10-2024
34489.0,912B,Forward Collision Warning,20,2024-03-05 23:58:11,2024-03-05 23:58:18,7,2024-03-05,03-2024,10-2024
21996.0,61,Harsh Acceleration,59,2024-03-05 23:58:06,2024-03-05 23:58:10,4,2024-03-05,03-2024,10-2024
74090.0,962,Harsh Braking,2,2024-03-05 23:58:05,2024-03-05 23:58:08,3,2024-03-05,03-2024,10-2024
,900,Yawn,29,2024-03-05 23:58:05,2024-03-05 23:58:13,8,2024-03-05,03-2024,10-2024
27943.0,172,Harsh Braking,31,2024-03-05 23:58:04,2024-03-05 23:58:07,3,2024-03-05,03-2024,10-2024
25490.0,67,Harsh Braking,18,2024-03-05 23:58:02,2024-03-05 23:58:05,3,2024-03-05,03-2024,10-2024
73660.0,110,Harsh Braking,8,2024-03-05 23:58:02,2024-03-05 23:58:05,3,2024-03-05,03-2024,10-2024
34752.0,,Harsh Braking,15,2024-03-05 23:58:01,2024-03-05 23:58:06,5,2024-03-05,03-2024,10-2024
