speed(km_h),alarm_duration,num_alarm_rows,driver_id,At_Risk
165,27,7,34432,0
58,23,7,34482,1
165,25,4,34484,0
86,8,2,34485,0
142,21,5,34488,0
100,30,6,34489,0
140,29,7,34536,0
96,24,5,34548,0
60,17,3,34579,0
652,89,11,34580,0
11,3,1,34581,1
74,21,3,34631,0
24,11,2,34632,0
204,36,9,34641,1
82,11,3,34694,0
366,53,12,34752,0
272,68,12,34784,0
257,52,8,34791,1
66,18,5,34793,0
89,23,6,34795,0
19,9,3,34815,0
73,21,5,34869,0
70,17,4,34881,0
42,12,2,34922,0
120,18,2,34938,0
155,29,6,34961,0
153,20,6,34962,0
12,5,1,34963,0
36,8,2,35015,0
199,43,8,35016,0
35,10,2,35045,0
48,5,1,35046,0
41,8,2,35049,0
65,17,5,35056,0
45,11,3,35058,0
50,16,3,35059,0
47,15,3,35089,1
38,7,1,35160,0
117,24,5,35161,0
20,6,1,35185,0
34,8,2,35193,0
159,34,8,35313,0
327,37,6,35449,0
193,61,9,35452,0
109,25,6,35636,0
90,17,4,36091,0
20,8,2,36131,0
104,16,5,36501,1
73,26,5,36574,0
97,13,3,36575,0
173,29,8,36681,0
26,7,1,36682,1
187,35,8,36734,0
27,7,2,36775,0
22,7,1,36814,1
29,10,1,36853,0
81,8,3,51171,0
68,21,4,61578,0
193,39,10,63157,1
96,32,7,66120,0
15,5,1,67229,1
209,45,8,67235,0
14,3,1,67313,0
229,46,12,67500,0
55,8,2,67506,0
156,28,8,67565,0
102,27,6,67620,0
152,20,5,67654,1
119,20,5,67689,0
177,26,3,67890,0
281,32,10,67919,0
128,28,6,68734,0
62,9,3,68956,0
54,14,2,70309,0
8,5,1,71406,0
53,11,3,71521,1
6,4,1,71597,1
1023,147,54,71599,0
30,4,1,71607,0
20,8,2,71634,0
19,7,2,71949,0
120,30,7,72094,0
56,13,3,72704,0
107,28,5,72725,0
573,93,14,72836,0
10,10,3,72848,0
40,11,2,72883,0
16,3,1,73157,0
17,5,1,73169,0
23,3,1,73179,0
21,2,1,73570,0
44,10,2,73631,0
90,29,7,73660,0
46,13,3,73731,0
220,52,13,73748,0
12,9,2,73784,0
26,3,1,73806,0
145,41,9,73818,0
90,13,3,73849,0
143,46,6,73855,0
202,38,10,74090,0
23,8,1,74174,0
148,32,6,74277,1
181,26,7,74634,0
55,16,3,74672,0
